Alder;Køn;Eksponeringer;CPM (pris pr. 1000 eksponeringer)
35-44;male;62;61,4516129
25-34;male;24;38,33333333
Unknown;unknown;0;
45-54;male;76;88,42105263
55-64;male;2;75
25-34;male;5;56
35-44;male;18;61,66666667
55-64;male;6;71,66666667
45-54;male;21;63,33333333
Unknown;unknown;0;
25-34;male;123;50,20557359
Unknown;unknown;0;
45-54;male;191;69,73229856
55-64;male;28;81,23868747
35-44;male;131;57,04224433
25-34;male;53;49,13044754
35-44;male;433;55,77522181
55-64;male;49;74,55360785
45-54;male;552;65,43644315
Unknown;unknown;0;
35-44;male;28;62,18434343
25-34;male;148;59,558945
45-54;male;391;62,79580096
55-64;male;8;87,05808081
45-54;male;39;74,23853924
25-34;male;12;48,08922559
Unknown;unknown;0;
35-44;male;348;55,34575206
55-64;male;48;69,82908847
45-54;unknown;1;50
45-54;female;63;104,44444444
45-54;male;55;76
55-64;female;583;114,08233276
55-64;unknown;10;125
55-64;male;546;105,97069597
Unknown;unknown;0;
55-64;male;34;185,88235294
45-54;female;2;10
Unknown;unknown;0;
45-54;male;7;115,71428571
55-64;female;43;112,79069767
55-64;unknown;2;65
45-54;female;16;128,125
55-64;male;269;93,75464684
45-54;male;20;75,5
55-64;female;185;132,27027027
55-64;unknown;2;185
55-64;female;814;131,67076167
45-54;male;92;103,26086957
55-64;unknown;18;143,33333333
45-54;unknown;3;180
Unknown;unknown;0;
45-54;male;50;69,2
Unknown;unknown;0;
55-64;unknown;9;105,55555556
55-64;female;415;121,78313253
55-64;male;571;93,83537653
45-54;female;27;97,40740741
55-64;female;81;108,51851852
45-54;male;10;163
45-54;female;6;150
55-64;unknown;5;122
45-54;unknown;1;100
Unknown;unknown;0;
45-54;female;88;117,61363636
55-64;male;729;114,74622771
55-64;male;106;114,05660377
45-54;unknown;1;610
55-64;female;125;102,96
35-44;female;4;207,5
55-64;unknown;4;75
45-54;male;11;627,27272727
Unknown;unknown;0;
55-64;unknown;12;99,16666667
55-64;male;1;170
65;male;1;120
45-54;female;2;245
55-64;female;2;450
65;female;2;280
Unknown;unknown;0;
45-54;female;32;98,4375
45-54;unknown;3;583,33333333
45-54;male;30;104
55-64;female;286;119,93006993
55-64;male;413;111,937046
55-64;female;135;308,14814815
55-64;male;157;116,68789809
55-64;male;107;284,57943925
65;female;11;224,54545455
45-54;female;37;349,45945946
Unknown;unknown;0;
Unknown;unknown;0;
55-64;unknown;3;130
45-54;female;7;67,14285714
65;male;3;250
45-54;male;25;80,8
65;unknown;1;40
55-64;female;827;133,59129383
45-54;female;94;104,25531915
55-64;male;920;106,69565217
Unknown;unknown;0;
55-64;unknown;22;73,63636364
45-54;male;82;106,82926829
45-54;unknown;3;80
45-54;male;15;240
45-54;female;51;221,76470588
65;female;26;204,61538462
55-64;female;196;308,92857143
45-54;female;101;122,07920792
55-64;female;1067;121,13402062
55-64;unknown;23;90
Unknown;unknown;0;
55-64;unknown;6;150
Unknown;unknown;0;
65;male;4;257,5
45-54;unknown;2;140
